Time,Va,Vb,Vc,Ia,Ib,Ic,Ea,Eb,Ec,Theta,Sector
0.0000,12.0000,2.1029,0.0000,0.7120,0.0000,-0.7120,0.0000,-2.5981,2.5981,0.0000,0
0.0000,12.0000,2.0958,0.0000,1.3885,0.0000,-1.3885,0.0094,-2.6028,2.5934,0.0031,0
0.0000,12.0000,2.0888,0.0000,2.0314,0.0000,-2.0314,0.0188,-2.6074,2.5886,0.0063,0
0.0000,12.0000,2.0819,0.0000,2.6422,0.0000,-2.6422,0.0283,-2.6121,2.5838,0.0094,0
0.0000,12.0000,2.0749,0.0000,3.2225,0.0000,-3.2225,0.0377,-2.6167,2.5790,0.0126,0
0.0000,12.0000,2.0680,0.0000,3.7738,0.0000,-3.7738,0.0471,-2.6213,2.5742,0.0157,0
0.0001,12.0000,2.0612,0.0000,4.2976,0.0000,-4.2976,0.0565,-2.6259,2.5693,0.0188,0
0.0001,12.0000,2.0544,0.0000,4.7951,0.0000,-4.7951,0.0660,-2.6304,2.5645,0.0220,0
0.0001,12.0000,2.0476,0.0000,5.2676,0.0000,-5.2676,0.0754,-2.6350,2.5596,0.0251,0
0.0001,12.0000,2.0408,0.0000,5.7164,0.0000,-5.7164,0.0848,-2.6394,2.5546,0.0283,0
0.0001,12.0000,2.0341,0.0000,6.1426,0.0000,-6.1426,0.0942,-2.6439,2.5497,0.0314,0
0.0001,12.0000,2.0275,0.0000,6.5473,0.0000,-6.5473,0.1037,-2.6484,2.5447,0.0346,0
0.0001,12.0000,2.0209,0.0000,6.9316,0.0000,-6.9316,0.1131,-2.6528,2.5397,0.0377,0
0.0001,12.0000,2.0143,0.0000,7.2965,0.0000,-7.2965,0.1225,-2.6572,2.5347,0.0408,0
0.0001,12.0000,2.0077,0.0000,7.6428,0.0000,-7.6428,0.1319,-2.6615,2.5296,0.0440,0
0.0002,12.0000,2.0012,0.0000,7.9715,0.0000,-7.9715,0.1413,-2.6659,2.5245,0.0471,0
0.0002,12.0000,1.9948,0.0000,8.2835,0.0000,-8.2835,0.1507,-2.6702,2.5194,0.0503,0
0.0002,12.0000,1.9883,0.0000,8.5796,0.0000,-8.5796,0.1601,-2.6744,2.5143,0.0534,0
0.0002,12.0000,1.9819,0.0000,8.8605,0.0000,-8.8605,0.1696,-2.6787,2.5091,0.0565,0
0.0002,12.0000,1.9756,0.0000,9.1270,0.0000,-9.1270,0.1790,-2.6829,2.5040,0.0597,0
0.0002,12.0000,1.9693,0.0000,9.3798,0.0000,-9.3798,0.1884,-2.6871,2.4988,0.0628,0
0.0002,12.0000,1.9630,0.0000,9.6196,0.0000,-9.6196,0.1978,-2.6913,2.4935,0.0660,0
0.0002,12.0000,1.9568,0.0000,9.8469,0.0000,-9.8469,0.2072,-2.6955,2.4883,0.0691,0
0.0002,12.0000,1.9506,0.0000,10.0624,0.0000,-10.0624,0.2166,-2.6996,2.4830,0.0723,0
0.0002,12.0000,1.9445,0.0000,10.2668,0.0000,-10.2668,0.2260,-2.7037,2.4777,0.0754,0
0.0003,12.0000,1.9384,0.0000,10.4604,0.0000,-10.4604,0.2354,-2.7078,2.4724,0.0785,0
