time,ia,ib,ic,vthev_a,v_a,v_n, omega,torque,theta_com, theta_e
0.00000,0.000,0.000,0.000,1.200,1.199,0.600,0.0000,0.0157,0.0000,0.0000
0.00005,0.030,-0.030,0.000,1.200,1.199,0.600,0.0001,0.0313,0.0031,0.0000
0.00010,0.060,-0.060,0.000,1.200,1.198,0.600,0.0003,0.0469,0.0063,0.0000
0.00015,0.089,-0.089,0.000,1.200,1.198,0.600,0.0006,0.0624,0.0094,0.0000
0.00020,0.119,-0.119,0.000,1.200,1.197,0.600,0.0012,0.0779,0.0126,0.0000
0.00025,0.148,-0.148,0.000,1.200,1.196,0.600,0.0018,0.0933,0.0157,0.0000
0.00030,0.178,-0.178,0.000,1.200,1.196,0.600,0.0027,0.1087,0.0188,0.0000
0.00035,0.207,-0.207,0.000,1.200,1.195,0.600,0.0037,0.1240,0.0220,0.0000
0.00040,0.236,-0.236,0.000,1.200,1.195,0.600,0.0048,0.1392,0.0251,0.0000
0.00045,0.265,-0.265,0.000,1.200,1.194,0.599,0.0061,0.1544,0.0283,0.0000
0.00050,0.294,-0.294,0.000,1.200,1.194,0.599,0.0075,0.1695,0.0314,0.0000
0.00055,0.323,-0.323,0.000,1.200,1.193,0.599,0.0091,0.1845,0.0346,0.0000
0.00060,0.351,-0.351,0.000,1.200,1.192,0.599,0.0109,0.1995,0.0377,0.0000
0.00065,0.380,-0.380,0.000,1.200,1.192,0.599,0.0128,0.2144,0.0408,0.0000
0.00070,0.408,-0.408,0.000,1.200,1.191,0.599,0.0148,0.2292,0.0440,0.0000
0.00075,0.437,-0.437,0.000,1.200,1.191,0.599,0.0170,0.2440,0.0471,0.0000
0.00080,0.465,-0.465,0.000,1.200,1.190,0.598,0.0193,0.2587,0.0503,0.0000
0.00085,0.493,-0.493,0.000,1.200,1.190,0.598,0.0218,0.2734,0.0534,0.0000
0.00090,0.521,-0.521,0.000,1.200,1.189,0.598,0.0245,0.2879,0.0565,0.0000
0.00095,0.548,-0.548,0.000,1.200,1.188,0.598,0.0272,0.3024,0.0597,0.0000
0.00100,0.576,-0.576,0.000,1.200,1.188,0.597,0.0302,0.3169,0.0628,0.0000
0.00105,0.604,-0.604,0.000,1.200,1.187,0.597,0.0332,0.3312,0.0660,0.0000
0.00110,0.631,-0.631,0.000,1.200,1.187,0.597,0.0365,0.3455,0.0691,0.0000
0.00115,0.658,-0.658,0.000,1.200,1.186,0.597,0.0398,0.3597,0.0723,0.0000
0.00120,0.685,-0.685,0.000,1.200,1.186,0.596,0.0433,0.3739,0.0754,0.0000
0.00125,0.712,-0.712,0.000,1.200,1.185,0.596,0.0469,0.3879,0.0785,0.0000
0.00130,0.739,-0.739,0.000,1.200,1.185,0.596,0.0507,0.4019,0.0817,0.0000
0.00135,0.766,-0.766,0.000,1.200,1.184,0.595,0.0546,0.4158,0.0848,0.0000
0.00140,0.792,-0.792,0.000,1.200,1.184,0.595,0.0587,0.4297,0.0880,0.0000
0.00145,0.819,-0.819,0.000,1.200,1.183,0.594,0.0629,0.4434,0.0911,0.0000
0.00150,0.845,-0.845,0.000,1.200,1.183,0.594,0.0672,0.4571,0.0942,0.0000
0.00155,0.871,-0.871,0.000,1.200,1.182,0.594,0.0717,0.4707,0.0974,0.0000
0.00160,0.897,-0.897,0.000,1.200,1.182,0.593,0.0763,0.4842,0.1005,0.0000
0.00165,0.922,-0.923,0.000,1.200,1.181,0.593,0.0810,0.4977,0.1037,0.0000
0.00170,0.948,-0.948,0.000,1.200,1.181,0.592,0.0859,0.5110,0.1068,0.0000
0.00175,0.974,-0.974,0.000,1.200,1.180,0.592,0.0909,0.5243,0.1100,0.0001
0.00180,0.999,-0.999,0.000,1.200,1.180,0.592,0.0961,0.5375,0.1131,0.0001
0.00185,1.024,-1.024,0.000,1.200,1.179,0.591,0.1013,0.5506,0.1162,0.0001
0.00190,1.049,-1.049,0.000,1.200,1.179,0.591,0.1068,0.5636,0.1194,0.0001
0.00195,1.074,-1.074,0.000,1.200,1.178,0.590,0.1123,0.5766,0.1225,0.0001
0.00200,1.099,-1.099,0.000,1.200,1.178,0.590,0.1180,0.5894,0.1257,0.0001
0.00205,1.123,-1.123,0.000,1.200,1.177,0.589,0.1237,0.6022,0.1288,0.0001
0.00210,1.147,-1.147,0.000,1.200,1.177,0.589,0.1297,0.6149,0.1319,0.0001
0.00215,1.172,-1.172,0.000,1.200,1.176,0.588,0.1357,0.6275,0.1351,0.0001
0.00220,1.196,-1.196,0.000,1.200,1.176,0.588,0.1419,0.6400,0.1382,0.0001
0.00225,1.220,-1.220,0.000,1.200,1.175,0.587,0.1482,0.6524,0.1414,0.0001
0.00230,1.243,-1.243,0.000,1.200,1.175,0.586,0.1546,0.6647,0.1445,0.0001
0.00235,1.267,-1.267,0.000,1.200,1.174,0.586,0.1612,0.6770,0.1477,0.0001
0.00240,1.290,-1.290,0.000,1.200,1.174,0.585,0.1678,0.6891,0.1508,0.0001
0.00245,1.313,-1.313,0.000,1.200,1.173,0.585,0.1746,0.7012,0.1539,0.0001
0.00250,1.336,-1.336,0.000,1.200,1.173,0.584,0.1815,0.7132,0.1571,0.0001
0.00255,1.359,-1.359,0.000,1.200,1.172,0.583,0.1886,0.7251,0.1602,0.0002
0.00260,1.382,-1.382,0.000,1.200,1.172,0.583,0.1957,0.7368,0.1634,0.0002
0.00265,1.404,-1.404,0.000,1.200,1.171,0.582,0.2030,0.7485,0.1665,0.0002
0.00270,1.427,-1.427,0.000,1.200,1.171,0.582,0.2104,0.7601,0.1696,0.0002
0.00275,1.449,-1.449,0.000,1.200,1.171,0.581,0.2179,0.7716,0.1728,0.0002
0.00280,1.471,-1.471,0.000,1.200,1.170,0.580,0.2255,0.7831,0.1759,0.0002
0.00285,1.493,-1.493,0.000,1.200,1.170,0.580,0.2332,0.7944,0.1791,0.0002
0.00290,1.514,-1.514,0.000,1.200,1.169,0.579,0.2410,0.8056,0.1822,0.0002
0.00295,1.536,-1.536,0.000,1.200,1.169,0.578,0.2490,0.8167,0.1854,0.0002
0.00300,1.557,-1.557,0.000,1.200,1.168,0.577,0.2571,0.8277,0.1885,0.0003
0.00305,1.578,-1.578,0.000,1.200,1.168,0.577,0.2652,0.8387,0.1916,0.0003
0.00310,1.599,-1.599,0.000,1.200,1.168,0.576,0.2735,0.8495,0.1948,0.0003
0.00315,1.620,-1.620,0.000,1.200,1.167,0.575,0.2819,0.8602,0.1979,0.0003
0.00320,1.641,-1.641,0.000,1.200,1.167,0.574,0.2904,0.8709,0.2011,0.0003
0.00325,1.661,-1.661,0.000,1.200,1.166,0.574,0.2990,0.8814,0.2042,0.0003
0.00330,1.681,-1.681,0.000,1.200,1.166,0.573,0.3077,0.8919,0.2073,0.0003
0.00335,1.701,-1.701,0.000,1.200,1.166,0.572,0.3165,0.9022,0.2105,0.0004
0.00340,1.721,-1.721,0.000,1.200,1.165,0.571,0.3255,0.9124,0.2136,0.0004
0.00345,1.741,-1.741,0.000,1.200,1.165,0.571,0.3345,0.9226,0.2168,0.0004
0.00350,1.760,-1.760,0.000,1.200,1.164,0.570,0.3436,0.9326,0.2199,0.0004
0.00355,1.779,-1.779,0.000,1.200,1.164,0.569,0.3528,0.9425,0.2231,0.0004
0.00360,1.798,-1.798,0.000,1.200,1.164,0.568,0.3621,0.9524,0.2262,0.0004
0.00365,1.817,-1.817,0.000,1.200,1.163,0.567,0.3716,0.9621,0.2293,0.0005
0.00370,1.836,-1.836,0.000,1.200,1.163,0.566,0.3811,0.9717,0.2325,0.0005
0.00375,1.855,-1.855,0.000,1.200,1.163,0.566,0.3907,0.9813,0.2356,0.0005
0.00380,1.873,-1.873,0.000,1.200,1.162,0.565,0.4004,0.9907,0.2388,0.0005
0.00385,1.891,-1.891,0.000,1.200,1.162,0.564,0.4102,1.0000,0.2419,0.0005
