time,ia,ib,ic,vthev_a,v_a,v_n,omega,torque,theta_elec,theta_mech
0.00000,0.0000,0.0000,0.0000,12.0000,12.0000,12.0000,0.0000,-0.0000,0.0000,0.0000
0.00005,0.0000,-0.0259,0.0259,12.0028,12.0028,12.0009,-0.0001,0.0000,0.0031,-0.0000
0.00010,0.0001,-0.0517,0.0516,12.0057,12.0056,12.0019,-0.0002,0.0000,0.0063,-0.0000
0.00015,0.0003,-0.0775,0.0773,12.0085,12.0085,12.0028,-0.0003,0.0001,0.0094,-0.0000
0.00020,0.0006,-0.1033,0.1027,12.0113,12.0113,12.0038,-0.0004,0.0001,0.0126,-0.0000
0.00025,0.0009,-0.1290,0.1281,12.0141,12.0141,12.0047,-0.0005,0.0001,0.0157,-0.0000
0.00030,0.0014,-0.1547,0.1533,12.0170,12.0169,12.0057,-0.0006,0.0002,0.0188,-0.0000
0.00035,0.0020,-0.1803,0.1784,12.0198,12.0197,12.0066,-0.0007,0.0003,0.0220,-0.0000
0.00040,0.0026,-0.2059,0.2033,12.0226,12.0225,12.0075,-0.0008,0.0004,0.0251,-0.0000
0.00045,0.0034,-0.2314,0.2281,12.0254,12.0254,12.0085,-0.0009,0.0004,0.0283,-0.0000
0.00050,0.0042,-0.2569,0.2527,12.0283,12.0282,12.0094,-0.0010,0.0005,0.0314,-0.0000
0.00055,0.0051,-0.2824,0.2773,12.0311,12.0310,12.0104,-0.0011,0.0006,0.0346,-0.0000
0.00060,0.0061,-0.3078,0.3017,12.0339,12.0338,12.0113,-0.0012,0.0008,0.0377,-0.0000
0.00065,0.0073,-0.3332,0.3259,12.0367,12.0366,12.0122,-0.0013,0.0009,0.0408,-0.0000
0.00070,0.0085,-0.3585,0.3500,12.0396,12.0394,12.0132,-0.0014,0.0010,0.0440,-0.0000
0.00075,0.0097,-0.3838,0.3740,12.0424,12.0422,12.0141,-0.0014,0.0012,0.0471,-0.0000
0.00080,0.0111,-0.4090,0.3979,12.0452,12.0450,12.0151,-0.0015,0.0013,0.0503,-0.0000
0.00085,0.0126,-0.4342,0.4216,12.0480,12.0478,12.0160,-0.0016,0.0015,0.0534,-0.0000
0.00090,0.0142,-0.4593,0.4452,12.0509,12.0506,12.0170,-0.0017,0.0017,0.0565,-0.0000
0.00095,0.0158,-0.4844,0.4686,12.0537,12.0533,12.0179,-0.0018,0.0018,0.0597,-0.0000
0.00100,0.0175,-0.5095,0.4919,12.0565,12.0561,12.0188,-0.0019,0.0020,0.0628,-0.0000
0.00105,0.0194,-0.5345,0.5151,12.0593,12.0589,12.0198,-0.0019,0.0022,0.0660,-0.0000
0.00110,0.0213,-0.5594,0.5382,12.0622,12.0617,12.0207,-0.0020,0.0024,0.0691,-0.0000
0.00115,0.0233,-0.5843,0.5611,12.0650,12.0645,12.0217,-0.0021,0.0027,0.0723,-0.0000
0.00120,0.0253,-0.6092,0.5839,12.0678,12.0672,12.0226,-0.0022,0.0029,0.0754,-0.0000
0.00125,0.0275,-0.6340,0.6065,12.0706,12.0700,12.0235,-0.0022,0.0031,0.0785,-0.0000
0.00130,0.0298,-0.6588,0.6290,12.0734,12.0728,12.0245,-0.0023,0.0034,0.0817,-0.0000
0.00135,0.0321,-0.6835,0.6514,12.0762,12.0756,12.0254,-0.0024,0.0036,0.0848,-0.0000
0.00140,0.0345,-0.7082,0.6737,12.0791,12.0783,12.0264,-0.0024,0.0039,0.0880,-0.0000
0.00145,0.0371,-0.7328,0.6958,12.0819,12.0811,12.0273,-0.0025,0.0042,0.0911,-0.0000
0.00150,0.0397,-0.7574,0.7178,12.0847,12.0839,12.0282,-0.0026,0.0044,0.0942,-0.0000
0.00155,0.0423,-0.7820,0.7396,12.0875,12.0866,12.0292,-0.0026,0.0047,0.0974,-0.0000
0.00160,0.0451,-0.8065,0.7614,12.0903,12.0894,12.0301,-0.0027,0.0050,0.1005,-0.0000
0.00165,0.0480,-0.8309,0.7830,12.0931,12.0921,12.0310,-0.0027,0.0053,0.1037,-0.0000
0.00170,0.0509,-0.8553,0.8044,12.0960,12.0949,12.0320,-0.0028,0.0057,0.1068,-0.0000
0.00175,0.0539,-0.8797,0.8258,12.0988,12.0976,12.0329,-0.0028,0.0060,0.1100,-0.0000
0.00180,0.0570,-0.9040,0.8470,12.1016,12.1004,12.0339,-0.0029,0.0063,0.1131,-0.0000
0.00185,0.0602,-0.9283,0.8681,12.1044,12.1031,12.0348,-0.0029,0.0067,0.1162,-0.0000
0.00190,0.0635,-0.9525,0.8890,12.1072,12.1059,12.0357,-0.0029,0.0070,0.1194,-0.0000
0.00195,0.0668,-0.9767,0.9098,12.1100,12.1086,12.0367,-0.0030,0.0074,0.1225,-0.0000
0.00200,0.0703,-1.0008,0.9305,12.1128,12.1113,12.0376,-0.0030,0.0077,0.1257,-0.0000
0.00205,0.0738,-1.0249,0.9511,12.1156,12.1141,12.0385,-0.0030,0.0081,0.1288,-0.0000
0.00210,0.0774,-1.0489,0.9715,12.1184,12.1168,12.0395,-0.0030,0.0085,0.1319,-0.0000
0.00215,0.0810,-1.0729,0.9918,12.1212,12.1195,12.0404,-0.0030,0.0089,0.1351,-0.0000
0.00220,0.0848,-1.0968,1.0120,12.1240,12.1222,12.0413,-0.0030,0.0093,0.1382,-0.0000
0.00225,0.0886,-1.1207,1.0320,12.1268,12.1250,12.0423,-0.0031,0.0097,0.1414,-0.0000
0.00230,0.0925,-1.1445,1.0520,12.1296,12.1277,12.0432,-0.0031,0.0101,0.1445,-0.0000
0.00235,0.0965,-1.1683,1.0718,12.1324,12.1304,12.0441,-0.0031,0.0106,0.1477,-0.0000
0.00240,0.1006,-1.1920,1.0914,12.1352,12.1331,12.0451,-0.0030,0.0110,0.1508,-0.0000
0.00245,0.1048,-1.2157,1.1110,12.1380,12.1358,12.0460,-0.0030,0.0114,0.1539,-0.0000
0.00250,0.1090,-1.2394,1.1304,12.1408,12.1385,12.0469,-0.0030,0.0119,0.1571,-0.0000
0.00255,0.1133,-1.2630,1.1497,12.1436,12.1412,12.0479,-0.0030,0.0124,0.1602,-0.0000
0.00260,0.1177,-1.2865,1.1688,12.1464,12.1439,12.0488,-0.0030,0.0128,0.1634,-0.0000
0.00265,0.1221,-1.3100,1.1879,12.1492,12.1466,12.0497,-0.0030,0.0133,0.1665,-0.0000
0.00270,0.1267,-1.3334,1.2068,12.1520,12.1493,12.0506,-0.0029,0.0138,0.1696,-0.0000
0.00275,0.1313,-1.3568,1.2255,12.1547,12.1520,12.0516,-0.0029,0.0143,0.1728,-0.0000
0.00280,0.1360,-1.3802,1.2442,12.1575,12.1547,12.0525,-0.0028,0.0148,0.1759,-0.0000
0.00285,0.1408,-1.4035,1.2627,12.1603,12.1574,12.0534,-0.0028,0.0153,0.1791,-0.0000
0.00290,0.1456,-1.4267,1.2811,12.1631,12.1601,12.0544,-0.0027,0.0158,0.1822,-0.0000
0.00295,0.1505,-1.4499,1.2994,12.1659,12.1628,12.0553,-0.0027,0.0163,0.1854,-0.0000
0.00300,0.1555,-1.4731,1.3176,12.1686,12.1654,12.0562,-0.0026,0.0169,0.1885,-0.0000
0.00305,0.1606,-1.4962,1.3356,12.1714,12.1681,12.0571,-0.0025,0.0174,0.1916,-0.0000
0.00310,0.1657,-1.5192,1.3535,12.1742,12.1708,12.0581,-0.0025,0.0180,0.1948,-0.0000
0.00315,0.1709,-1.5422,1.3713,12.1770,12.1734,12.0590,-0.0024,0.0185,0.1979,-0.0000
0.00320,0.1762,-1.5652,1.3889,12.1797,12.1761,12.0599,-0.0023,0.0191,0.2011,-0.0000
0.00325,0.1816,-1.5881,1.4065,12.1825,12.1788,12.0608,-0.0022,0.0196,0.2042,-0.0000
0.00330,0.1870,-1.6109,1.4239,12.1853,12.1814,12.0618,-0.0021,0.0202,0.2073,-0.0000
0.00335,0.1925,-1.6337,1.4412,12.1880,12.1841,12.0627,-0.0020,0.0208,0.2105,-0.0000
0.00340,0.1981,-1.6565,1.4583,12.1908,12.1867,12.0636,-0.0019,0.0214,0.2136,-0.0000
0.00345,0.2038,-1.6792,1.4754,12.1936,12.1894,12.0645,-0.0018,0.0220,0.2168,-0.0000
0.00350,0.2095,-1.7018,1.4923,12.1963,12.1920,12.0654,-0.0017,0.0226,0.2199,-0.0000
0.00355,0.2153,-1.7244,1.5091,12.1991,12.1947,12.0664,-0.0016,0.0232,0.2231,-0.0000
0.00360,0.2212,-1.7469,1.5258,12.2018,12.1973,12.0673,-0.0014,0.0239,0.2262,-0.0000
